order_id,order_date,customer_id,product_id,region_id,quantity,discount,sales_amount,cost_amount,profit
O000127,2024-11-11 00:00:00,C01991,P0096,R014,1,0.0,778.97,459.15,319.82
O000128,2024-04-04 00:00:00,C01711,P0054,R005,4,0.0,3505.6,2494.04,1011.56
O000129,2025-11-21 00:00:00,C00543,P0090,R015,1,0.0,49.6,43.23,6.37
O000130,2025-09-27 00:00:00,C01560,P0080,R010,1,0.0,1064.41,755.97,308.44
O000131,2025-10-21 00:00:00,C00437,P0037,R016,2,0.05,1210.17,1088.58,121.59
O000132,2024-09-19 00:00:00,C00254,P0065,R001,1,0.05,485.01,442.51,42.5
O000133,2025-04-02 00:00:00,C00518,P0098,R009,1,0.0,1403.73,817.94,585.79
O000134,2024-11-12 00:00:00,C00280,P0006,R012,2,0.0,471.42,298.42,173.0
O000135,2024-06-20 00:00:00,C01282,P0052,R003,1,0.05,431.01,386.04,44.97
O000136,2024-05-30 00:00:00,C01367,P0070,R009,2,0.0,121.18,75.88,45.3
O000137,2024-10-07 00:00:00,C00072,P0043,R015,2,0.15,35.02,29.64,5.38
O000138,2025-02-08 00:00:00,C00215,P0040,R014,4,0.0,3537.76,3112.8,424.96
O000139,2024-03-30 00:00:00,C00959,P0081,R003,1,0.05,183.44,167.77,15.67
O000140,2025-05-28 00:00:00,C00227,P0094,R015,2,0.0,1738.84,1390.16,348.68
O000141,2024-11-30 00:00:00,C01657,P0062,R015,3,0.0,846.09,559.77,286.32
O000142,2025-10-06 00:00:00,C00801,P0097,R009,2,0.0,2417.7,1605.58,812.12
O000143,2024-07-22 00:00:00,C00826,P0015,R017,1,0.0,1243.47,897.03,346.44
O000144,2024-02-07 00:00:00,C00011,P0030,R013,1,0.0,484.37,320.28,164.09
O000145,2024-08-16 00:00:00,C01403,P0013,R020,1,0.05,307.26,263.26,44.0
O000146,2025-12-12 00:00:00,C01443,P0052,R015,1,0.0,453.69,386.04,67.65
O000147,2024-08-23 00:00:00,C01513,P0070,R020,2,0.0,121.18,75.88,45.3
O000148,2025-05-29 00:00:00,C01081,P0027,R017,2,0.0,1877.32,1543.96,333.36
O000149,2025-09-08 00:00:00,C00540,P0054,R007,1,0.1,788.76,623.51,165.25
O000150,2024-07-26 00:00:00,C00157,P0075,R003,4,0.0,769.56,559.52,210.04
O000151,2025-04-14 00:00:00,C00632,P0071,R013,2,0.05,1681.75,1354.96,326.79
O000152,2024-05-29 00:00:00,C01088,P0070,R011,5,0.05,287.8,189.7,98.1
O000153,2024-09-21 00:00:00,C00234,P0068,R020,1,0.0,615.54,507.33,108.21
O000154,2024-08-04 00:00:00,C00109,P0099,R019,2,0.1,2024.91,1436.9,588.01
O000155,2025-05-06 00:00:00,C00434,P0078,R001,1,0.0,909.09,738.46,170.63
O000156,2025-10-02 00:00:00,C00142,P0093,R006,4,0.0,3628.64,2376.84,1251.8
O000157,2024-07-03 00:00:00,C00029,P0097,R011,1,0.0,1208.85,802.79,406.06
O000158,2024-08-01 00:00:00,C00971,P0090,R013,1,0.2,39.68,43.23,-3.55
O000159,2025-08-23 00:00:00,C01491,P0014,R008,2,0.0,941.46,826.9,114.56
O000160,2024-12-04 00:00:00,C01000,P0061,R006,1,0.1,678.28,479.76,198.52
O000161,2025-01-10 00:00:00,C00183,P0047,R010,3,0.05,1405.88,1218.24,187.64
O000162,2025-05-30 00:00:00,C00678,P0014,R017,1,0.1,423.66,413.45,10.21
O000163,2024-04-10 00:00:00,C00072,P0065,R019,1,0.1,459.49,442.51,16.98
O000164,2025-09-29 00:00:00,C01244,P0029,R015,1,0.0,986.11,722.34,263.77
O000165,2024-09-23 00:00:00,C00467,P0066,R004,1,0.05,809.12,711.51,97.61
O000166,2025-04-26 00:00:00,C00775,P0086,R019,3,0.0,2087.76,1767.87,319.89
O000167,2024-11-11 00:00:00,C01805,P0048,R011,4,0.0,554.28,381.32,172.96
O000168,2025-07-04 00:00:00,C01174,P0097,R014,4,0.2,3868.32,3211.16,657.16
O000169,2025-03-23 00:00:00,C01530,P0082,R014,4,0.0,744.32,634.64,109.68
O000170,2024-05-06 00:00:00,C00700,P0085,R010,1,0.0,540.67,327.75,212.92
O000171,2024-05-17 00:00:00,C01862,P0016,R011,2,0.05,802.6,719.1,83.5
O000172,2025-10-03 00:00:00,C01430,P0096,R011,1,0.1,701.07,459.15,241.92
O000173,2025-01-14 00:00:00,C01032,P0006,R003,2,0.0,471.42,298.42,173.0
O000174,2024-07-20 00:00:00,C01159,P0088,R016,4,0.05,331.55,233.36,98.19
O000175,2024-04-14 00:00:00,C01247,P0005,R007,1,0.1,604.97,567.23,37.74
O000176,2024-04-03 00:00:00,C00321,P0023,R015,2,0.0,532.7,422.62,110.08
O000177,2025-11-03 00:00:00,C00504,P0040,R001,1,0.1,796.0,778.2,17.8
O000178,2025-12-14 00:00:00,C01373,P0080,R003,4,0.1,3831.88,3023.88,808.0
O000179,2024-10-14 00:00:00,C00882,P0093,R006,3,0.1,2449.33,1782.63,666.7
O000180,2024-05-27 00:00:00,C01568,P0074,R006,3,0.15,1269.16,1217.22,51.94
O000181,2024-11-02 00:00:00,C01052,P0079,R003,2,0.05,193.67,153.66,40.01
O000182,2024-04-09 00:00:00,C00132,P0037,R014,4,0.05,2420.33,2177.16,243.17
O000183,2025-02-05 00:00:00,C01330,P0099,R002,5,0.1,5062.28,3592.25,1470.03
O000184,2025-04-02 00:00:00,C01220,P0050,R003,1,0.05,1190.88,827.4,363.48
O000185,2025-12-21 00:00:00,C00730,P0094,R013,4,0.0,3477.68,2780.32,697.36
O000186,2024-08-21 00:00:00,C01581,P0083,R014,2,0.0,2496.04,1735.06,760.98
O000187,2024-05-24 00:00:00,C00702,P0046,R014,1,0.0,1047.14,861.63,185.51
O000188,2024-04-07 00:00:00,C00230,P0043,R018,2,0.1,37.08,29.64,7.44
O000189,2024-10-02 00:00:00,C00243,P0075,R016,2,0.0,384.78,279.76,105.02
O000190,2025-03-15 00:00:00,C01804,P0096,R008,2,0.05,1480.04,918.3,561.74
O000191,2024-02-18 00:00:00,C00753,P0074,R013,1,0.05,472.82,405.74,67.08
O000192,2025-07-08 00:00:00,C00830,P0090,R005,2,0.0,99.2,86.46,12.74
O000193,2024-12-02 00:00:00,C00611,P0098,R017,2,0.05,2667.09,1635.88,1031.21
O000194,2025-08-02 00:00:00,C01476,P0042,R018,1,0.2,70.37,69.02,1.35
O000195,2024-12-04 00:00:00,C01212,P0062,R012,3,0.0,846.09,559.77,286.32
O000196,2024-04-23 00:00:00,C01799,P0069,R010,2,0.05,1529.58,1225.7,303.88
O000197,2024-01-16 00:00:00,C01789,P0029,R013,3,0.0,2958.33,2167.02,791.31
O000198,2025-02-11 00:00:00,C01980,P0085,R017,2,0.0,1081.34,655.5,425.84
O000199,2025-01-29 00:00:00,C00659,P0034,R019,5,0.0,3058.8,2510.25,548.55
O000200,2025-08-17 00:00:00,C01168,P0077,R002,2,0.0,1303.58,792.08,511.5
O000201,2025-10-03 00:00:00,C00693,P0061,R013,1,0.0,753.65,479.76,273.89
O000202,2024-04-27 00:00:00,C01409,P0088,R005,1,0.05,82.89,58.34,24.55
O000203,2024-08-18 00:00:00,C01497,P0060,R002,2,0.15,771.34,681.28,90.06
O000204,2024-05-31 00:00:00,C00504,P0067,R001,2,0.0,2446.74,1781.78,664.96
O000205,2024-03-19 00:00:00,C01720,P0025,R002,1,0.0,271.48,172.86,98.62
O000206,2024-01-02 00:00:00,C00581,P0086,R009,3,0.0,2087.76,1767.87,319.89
O000207,2024-03-01 00:00:00,C01967,P0049,R018,4,0.05,3451.84,2354.56,1097.28
O000208,2025-01-18 00:00:00,C01702,P0066,R018,1,0.0,851.71,711.51,140.2
O000209,2024-04-21 00:00:00,C00037,P0089,R016,1,0.15,749.43,756.14,-6.71
O000210,2024-05-22 00:00:00,C00797,P0057,R013,3,0.0,3235.65,1895.13,1340.52
O000211,2024-03-27 00:00:00,C00777,P0036,R013,1,0.05,996.05,882.0,114.05
O000212,2025-06-13 00:00:00,C01645,P0035,R001,1,0.1,902.61,753.29,149.32
O000213,2025-04-09 00:00:00,C01449,P0065,R017,1,0.1,459.49,442.51,16.98
O000214,2025-12-04 00:00:00,C00102,P0037,R001,1,0.05,605.08,544.29,60.79
O000215,2024-03-22 00:00:00,C01682,P0043,R016,2,0.1,37.08,29.64,7.44
O000216,2024-06-01 00:00:00,C00437,P0031,R015,3,0.1,441.53,341.01,100.52
O000217,2024-11-29 00:00:00,C00740,P0054,R006,2,0.05,1665.16,1247.02,418.14
O000218,2025-04-19 00:00:00,C00341,P0055,R002,1,0.05,803.05,517.78,285.27
O000219,2024-04-05 00:00:00,C00316,P0061,R018,3,0.0,2260.95,1439.28,821.67
O000220,2024-06-03 00:00:00,C01055,P0067,R005,2,0.15,2079.73,1781.78,297.95
O000221,2024-11-04 00:00:00,C00170,P0067,R011,2,0.15,2079.73,1781.78,297.95
O000222,2024-01-14 00:00:00,C00162,P0046,R014,1,0.05,994.78,861.63,133.15
O000223,2024-10-15 00:00:00,C01572,P0093,R010,2,0.05,1723.6,1188.42,535.18
O000224,2025-07-08 00:00:00,C00688,P0060,R005,3,0.05,1293.13,1021.92,271.21
O000225,2025-01-19 00:00:00,C01297,P0088,R010,2,0.0,174.5,116.68,57.82
O000226,2024-11-13 00:00:00,C01973,P0064,R010,3,0.1,2436.91,2272.23,164.68
O000227,2024-12-22 00:00:00,C00102,P0046,R009,5,0.1,4712.13,4308.15,403.98
O000228,2025-11-23 00:00:00,C01589,P0080,R008,5,0.05,5055.95,3779.85,1276.1
O000229,2025-01-15 00:00:00,C00220,P0024,R002,4,0.0,3827.24,3310.16,517.08
O000230,2025-01-25 00:00:00,C01522,P0098,R007,3,0.0,4211.19,2453.82,1757.37
O000231,2025-11-11 00:00:00,C00613,P0065,R008,5,0.0,2552.7,2212.55,340.15
O000232,2024-04-25 00:00:00,C00271,P0015,R006,1,0.1,1119.12,897.03,222.09
O000233,2024-03-11 00:00:00,C00458,P0051,R003,1,0.05,801.43,651.66,149.77
O000234,2024-11-24 00:00:00,C00730,P0078,R009,3,0.1,2454.54,2215.38,239.16
O000235,2024-08-20 00:00:00,C01460,P0010,R019,1,0.15,854.45,832.19,22.26
O000236,2024-05-28 00:00:00,C01362,P0034,R004,2,0.05,1162.34,1004.1,158.24
O000237,2024-03-28 00:00:00,C01458,P0095,R014,4,0.0,554.48,348.44,206.04
O000238,2025-10-03 00:00:00,C00044,P0044,R020,3,0.05,1101.92,797.61,304.31
O000239,2025-03-25 00:00:00,C01951,P0022,R020,1,0.0,494.11,305.85,188.26
O000240,2025-05-20 00:00:00,C00868,P0014,R007,1,0.0,470.73,413.45,57.28
O000241,2024-03-27 00:00:00,C00223,P0070,R003,2,0.0,121.18,75.88,45.3
O000242,2024-09-06 00:00:00,C01858,P0064,R015,3,0.0,2707.68,2272.23,435.45
O000243,2025-03-29 00:00:00,C01586,P0072,R007,3,0.2,663.6,691.29,-27.69
O000244,2025-01-20 00:00:00,C00165,P0097,R006,3,0.1,3263.9,2408.37,855.53
O000245,2025-05-22 00:00:00,C00874,P0009,R015,1,0.15,799.86,785.27,14.59
O000246,2025-05-04 00:00:00,C01813,P0027,R006,2,0.0,1877.32,1543.96,333.36
O000247,2024-10-29 00:00:00,C01366,P0031,R011,2,0.0,327.06,227.34,99.72
O000248,2025-07-26 00:00:00,C00390,P0052,R010,1,0.0,453.69,386.04,67.65
O000249,2024-07-08 00:00:00,C01401,P0017,R017,5,0.05,2891.99,2284.5,607.49
O000250,2024-02-28 00:00:00,C00379,P0050,R015,1,0.1,1128.2,827.4,300.8
O000251,2025-10-29 00:00:00,C00704,P0086,R008,1,0.2,556.74,589.29,-32.55
O000252,2024-01-17 00:00:00,C00391,P0023,R001,1,0.0,266.35,211.31,55.04
O000253,2024-07-26 00:00:00,C01387,P0094,R005,1,0.0,869.42,695.08,174.34
O000254,2024-03-24 00:00:00,C01863,P0094,R004,2,0.05,1651.9,1390.16,261.74
O000255,2024-06-18 00:00:00,C00089,P0060,R016,5,0.0,2268.65,1703.2,565.45
O000256,2024-10-15 00:00:00,C01208,P0090,R016,1,0.05,47.12,43.23,3.89
O000257,2024-04-04 00:00:00,C00497,P0078,R001,2,0.05,1727.27,1476.92,250.35
O000258,2024-12-07 00:00:00,C01502,P0044,R008,3,0.05,1101.92,797.61,304.31
O000259,2025-11-08 00:00:00,C00279,P0064,R003,2,0.15,1534.35,1514.82,19.53
O000260,2024-04-09 00:00:00,C00733,P0017,R018,4,0.1,2191.82,1827.6,364.22
O000261,2025-11-08 00:00:00,C00412,P0058,R015,2,0.05,907.72,718.12,189.6
O000262,2024-10-27 00:00:00,C01747,P0087,R003,4,0.0,1486.28,913.36,572.92
O000263,2025-03-09 00:00:00,C00166,P0067,R014,2,0.1,2202.07,1781.78,420.29
O000264,2024-11-18 00:00:00,C01164,P0047,R017,1,0.0,493.29,406.08,87.21
O000265,2024-08-19 00:00:00,C00241,P0073,R002,1,0.0,765.93,629.1,136.83
O000266,2024-03-20 00:00:00,C01200,P0099,R013,1,0.0,1124.95,718.45,406.5
O000267,2025-03-09 00:00:00,C01536,P0010,R011,3,0.0,3015.72,2496.57,519.15
O000268,2025-11-01 00:00:00,C01505,P0042,R004,1,0.0,87.96,69.02,18.94
O000269,2025-01-15 00:00:00,C00067,P0022,R019,2,0.0,988.22,611.7,376.52
O000270,2025-03-13 00:00:00,C01548,P0097,R001,1,0.05,1148.41,802.79,345.62
O000271,2025-04-15 00:00:00,C00594,P0063,R010,1,0.0,351.53,243.66,107.87
O000272,2024-10-11 00:00:00,C01364,P0018,R018,1,0.15,801.08,765.67,35.41
O000273,2024-03-29 00:00:00,C01928,P0069,R007,4,0.1,2898.14,2451.4,446.74
O000274,2025-01-05 00:00:00,C00238,P0059,R006,4,0.0,5339.56,3566.64,1772.92
O000275,2025-09-27 00:00:00,C00726,P0009,R015,2,0.1,1693.82,1570.54,123.28
O000276,2024-08-17 00:00:00,C01734,P0090,R005,1,0.15,42.16,43.23,-1.07
O000277,2025-09-29 00:00:00,C00284,P0077,R011,4,0.0,2607.16,1584.16,1023.0
O000278,2025-09-16 00:00:00,C00522,P0001,R004,1,0.0,163.24,115.78,47.46
O000279,2024-06-27 00:00:00,C01099,P0097,R002,1,0.15,1027.52,802.79,224.73
O000280,2025-02-24 00:00:00,C01993,P0022,R008,1,0.0,494.11,305.85,188.26
O000281,2025-06-30 00:00:00,C00590,P0001,R003,1,0.1,146.92,115.78,31.14
O000282,2024-12-27 00:00:00,C00772,P0052,R011,1,0.0,453.69,386.04,67.65
O000283,2025-05-26 00:00:00,C01592,P0020,R010,1,0.0,1187.83,729.28,458.55
O000284,2025-10-27 00:00:00,C00240,P0065,R010,1,0.05,485.01,442.51,42.5
O000285,2025-04-03 00:00:00,C00656,P0040,R020,3,0.0,2653.32,2334.6,318.72
O000286,2025-09-04 00:00:00,C00633,P0025,R018,4,0.1,977.33,691.44,285.89
O000287,2025-08-08 00:00:00,C00803,P0099,R009,4,0.1,4049.82,2873.8,1176.02
O000288,2025-08-17 00:00:00,C01148,P0042,R004,3,0.15,224.3,207.06,17.24
O000289,2025-09-15 00:00:00,C00444,P0050,R005,2,0.0,2507.12,1654.8,852.32
O000290,2024-06-13 00:00:00,C00783,P0038,R015,2,0.0,815.76,484.88,330.88
O000291,2024-01-14 00:00:00,C01834,P0088,R017,5,0.0,436.25,291.7,144.55
O000292,2024-04-21 00:00:00,C01658,P0027,R019,1,0.1,844.79,771.98,72.81
O000293,2024-07-01 00:00:00,C01913,P0018,R019,2,0.05,1790.66,1531.34,259.32
O000294,2025-05-19 00:00:00,C01365,P0091,R001,1,0.0,294.85,206.95,87.9
O000295,2025-01-07 00:00:00,C01165,P0025,R017,1,0.0,271.48,172.86,98.62
O000296,2024-12-08 00:00:00,C00427,P0090,R016,2,0.0,99.2,86.46,12.74
O000297,2024-01-07 00:00:00,C00318,P0066,R004,3,0.0,2555.13,2134.53,420.6
