product_id,product_name,category,sub_category,cost,selling_price
P0050,Appliances Product 50,Home & Kitchen,Appliances,827.4,1253.56
P0051,Decor Product 51,Home & Kitchen,Decor,651.66,843.61
P0052,Men Product 52,Clothing,Men,386.04,453.69
P0053,Stationery Product 53,Furniture ,Stationery,48.4,55.07
P0054,Storage Product 54,Furniture,Storage,623.51,876.4
P0055,Women Product 55,Clothing,Women,517.78,845.32
P0056,Women Product 56,Clothing,Women,546.21,736.19
P0057,Women Product 57,Clothing,Women,631.71,1078.55
P0058,Tables Product 58,Furniture,Tables,359.06,477.75
P0059,Cookware Product 59,Home & Kitchen,Cookware,891.66,1334.89
P0060,Stationery Product 60,Furniture ,Stationery,340.64,453.73
P0061,Laptops Product 61,Electronics,Laptops,479.76,753.65
P0062,Cookware Product 62,Home & Kitchen,Cookware,186.59,282.03
P0063,Accessories Product 63,Electronics,Accessories,243.66,351.53
P0064,Cookware Product 64,Home & Kitchen,Cookware,757.41,902.56
P0065,Men Product 65,Clothing,Men,442.51,510.54
P0066,Mobiles Product 66,Electronics,Mobiles,711.51,851.71
P0067,Women Product 67,Clothing,Women,890.89,1223.37
P0068,Stationery Product 68,Office Supplies,Stationery,507.33,615.54
P0069,Chairs Product 69,Furniture,Chairs,612.85,805.04
P0070,Laptops Product 70,Electronics,Laptops,37.94,60.59
P0071,Paper Product 71,Office Supplies,Paper,677.48,885.13
P0072,Cookware Product 72,Home & Kitchen,Cookware,230.43,276.5
P0073,Cookware Product 73,Home & Kitchen,Cookware,629.1,765.93
P0074,Stationery Product 74,Office Supplies,Stationery,405.74,497.71
P0075,Tables Product 75,Furniture,Tables,139.88,192.39
P0076,Appliances Product 76,Home & Kitchen,Appliances,442.13,562.13
P0077,Tables Product 77,Furniture,Tables,396.04,651.79
P0078,Women Product 78,Clothing,Women,738.46,909.09
P0079,Stationery Product 79,Office Supplies,Stationery,76.83,101.93
P0080,Kids Product 80,Clothing,Kids,755.97,1064.41
P0081,Women Product 81,Clothing,Women,167.77,193.1
P0082,Accessories Product 82,Electronics,Accessories,158.66,186.08
P0083,Storage Product 83,Furniture,Storage,867.53,1248.02
P0084,Tables Product 84,Furniture,Tables,751.58,918.15
P0085,Stationery Product 85,Office Supplies,Stationery,327.75,540.67
P0086,Printers Product 86,Office Supplies,Printers,589.29,695.92
P0087,Women Product 87,OFFICE SUPPLIES,Women,228.34,371.57
P0088,Paper Product 88,Office Supplies,Paper,58.34,87.25
P0089,Cookware Product 89,Home & Kitchen,Cookware,756.14,881.68
P0090,Accessories Product 90,Electronics,Accessories,43.23,49.6
P0091,Women Product 91,Clothing,Women,206.95,294.85
P0092,Men Product 92,Clothing,Men,41.5,62.7
P0093,Appliances Product 93,Home & Kitchen,Appliances,594.21,907.16
P0094,Paper Product 94,Office Supplies,Paper,695.08,869.42
P0095,Cookware Product 95,Home & Kitchen,Cookware,87.11,138.62
P0096,Mobiles Product 96,Furniture ,Mobiles,459.15,778.97
P0097,Tables Product 97,Furniture,Tables,802.79,1208.85
P0098,Kids Product 98,Clothing,Kids,817.94,1403.73
P0099,Appliances Product 99,Home & Kitchen,Appliances,718.45,1124.95
P0100,Women Product 100,Clothing,Women,258.19,437.27
