customer_id,customer_name,gender,age,customer_segment,signup_date
C00149,Customer 149,Male,59,Small Business,2025-03-12
C00150,Customer 150,Male,36,Consumer,2025-12-19
C00151,Customer 151,Female,33,Consumer,2025-03-23
C00152,Customer 152,Female,43,Consumer,2024-06-12
C00153,Customer 153,Male,61,Consumer,2024-10-17
C00154,Customer 154,Female,64,Consumer,2024-12-22
C00155,Customer 155,Male,28,Consumer,2024-12-12
C00156,Customer 156,Female,26,Consumer,2024-04-19
C00157,Customer 157,Male,51,Consumer,2024-03-18
C00158,Customer 158,Female,32,Consumer,2024-09-12
C00159,Customer 159,Female,27,Small Business,2025-10-29
C00160,Customer 160,Female,19,Consumer,2025-06-07
C00161,Customer 161,Male,37,Small Business,2025-09-06
C00162,Customer 162,Female,36,Small Business,2024-05-07
C00163,Customer 163,Male,45,Consumer,2024-10-29
C00164,Customer 164,Male,27,Corporate,2025-02-28
C00165,Customer 165,Female,52,Consumer,2024-11-13
C00166,Customer 166,Male,50,Corporate,2024-10-31
C00167,Customer 167,Female,40,Consumer,2024-09-19
C00168,Customer 168,Female,26,Consumer,2024-02-07
C00169,Customer 169,Male,42,Consumer,2025-09-17
C00170,Customer 170,Female,50,Consumer,2025-11-12
C00171,Customer 171,Male,35,Small Business,2024-02-29
C00172,Customer 172,Male,30,Corporate,2024-10-28
C00173,Customer 173,Male,42,Corporate,2025-01-13
C00174,Customer 174,Female,35,Small Business,2025-07-26
C00175,Customer 175,Male,37,Corporate,2025-12-21
C00176,Customer 176,Male,34,Consumer,2024-10-30
C00177,Customer 177,Male,32,Small Business,2025-06-30
C00178,Customer 178,Other,52,Consumer,2025-11-15
C00179,Customer 179,Female,40,Consumer,2025-08-29
C00180,Customer 180,Female,40,Consumer,2024-07-31
C00181,Customer 181,Female,49,Small Business,2025-08-19
C00182,Customer 182,Female,35,Consumer,2024-10-27
C00183,Customer 183,Male,22,Consumer,2024-01-13
C00184,Customer 184,Male,58,Consumer,2025-07-07
C00185,Customer 185,Female,20,Consumer,2025-09-01
C00186,Customer 186,Female,45,Consumer,2024-09-07
C00187,Customer 187,Male,30,Corporate,2024-11-25
C00188,Customer 188,Male,28,Small Business,2024-09-22
C00189,Customer 189,Female,20,Consumer,2024-03-26
C00190,Customer 190,Male,61,Consumer,2025-12-27
C00191,Customer 191,Female,38,Consumer,2024-01-17
C00192,Customer 192,Male,34,Consumer,2025-02-09
C00193,Customer 193,Male,53,Consumer,2024-01-11
C00194,Customer 194,Female,19,Corporate,2025-05-18
C00195,Customer 195,Male,45,Corporate,2025-10-19
C00196,Customer 196,Male,41,Consumer,2025-04-14
C00197,Customer 197,Female,44,Consumer,2025-03-18
C00198,Customer 198,Female,23,Consumer,2025-08-27
C00199,Customer 199,Male,63,Consumer,2025-12-12
C00200,Customer 200,Male,29,Small Business,2025-09-21
C00201,Customer 201,Female,50,Corporate,2024-06-17
C00202,Customer 202,Female,53,Small Business,2025-02-15
C00203,Customer 203,Male,34,Small Business,2025-08-20
C00204,Customer 204,Male,24,Corporate,2024-08-03
C00205,Customer 205,Male,32,Small Business,2025-05-07
C00206,Customer 206,Male,56,Consumer,2024-01-17
C00207,Customer 207,Male,61,Consumer,2025-10-02
C00208,Customer 208,Female,62,Consumer,2025-03-24
C00209,Customer 209,Male,28,Consumer,2025-06-26
C00210,Customer 210,Male,47,Consumer,2025-08-25
C00211,Customer 211,Female,25,Consumer,2024-06-08
C00212,Customer 212,Female,52,Corporate,2024-11-24
C00213,Customer 213,Male,37,Corporate,2025-09-18
C00214,Customer 214,Female,52,Consumer,2024-04-30
C00215,Customer 215,Female,50,Consumer,2025-08-23
C00216,Customer 216,Female,65,Corporate,2024-07-29
C00217,Customer 217,Male,41,Consumer,2025-02-24
C00218,Customer 218,Male,34,Consumer,2025-01-07
C00219,Customer 219,Female,43,Consumer,2025-05-16
C00220,Customer 220,Male,25,Consumer,2025-09-02
C00221,Customer 221,Male,23,Consumer,2024-09-11
C00222,Customer 222,Male,42,Corporate,2024-05-05
C00223,Customer 223,Female,57,Corporate,2024-11-04
C00224,Customer 224,Female,43,Corporate,2025-03-22
C00225,Customer 225,Male,55,Consumer,2025-07-01
C00226,Customer 226,Female,26,Corporate,2025-07-03
C00227,Customer 227,Male,39,Corporate,2024-09-05
C00228,Customer 228,Female,47,Consumer,2025-11-14
C00229,Customer 229,Female,34,Corporate,2024-03-01
C00230,Customer 230,Male,18,Consumer,2024-03-26
C00231,Customer 231,Male,21,Consumer,2024-01-19
C00232,Customer 232,Male,62,Consumer,2025-11-07
C00233,Customer 233,Female,47,Consumer,2024-05-11
C00234,Customer 234,Female,30,Consumer,2025-03-15
C00235,Customer 235,Female,30,Consumer,2025-08-16
C00236,Customer 236,Female,19,Consumer,2025-07-13
C00237,Customer 237,Male,63,Small Business,2025-11-23
C00238,Customer 238,Female,23,Consumer,2024-02-09
C00239,Customer 239,Male,54,Consumer,2024-10-24
C00240,Customer 240,Male,29,Consumer,2025-01-04
C00241,Customer 241,Female,34,Small Business,2025-05-23
C00242,Customer 242,Female,31,Consumer,2025-03-30
C00243,Customer 243,Male,57,Small Business,2025-02-12
C00244,Customer 244,Female,19,Consumer,2024-08-11
C00245,Customer 245,Female,34,Consumer,2024-03-18
C00246,Customer 246,Female,31,Consumer,2024-11-11
C00247,Customer 247,Female,31,Consumer,2024-07-08
C00248,Customer 248,Male,27,Corporate,2025-02-08
C00249,Customer 249,Male,61,Small Business,2025-08-04
C00250,Customer 250,Male,36,Consumer,2025-02-07
C00251,Customer 251,Female,38,Small Business,2025-03-01
C00252,Customer 252,Female,36,Consumer,2024-01-31
C00253,Customer 253,Male,65,Consumer,2025-04-15
C00254,Customer 254,Male,34,Consumer,2024-11-16
C00255,Customer 255,Male,34,Consumer,2024-03-31
C00256,Customer 256,Female,33,Corporate,2024-06-05
C00257,Customer 257,Female,33,Consumer,2025-07-23
C00258,Customer 258,Male,22,Consumer,2025-10-31
C00259,Customer 259,Male,47,Consumer,2025-01-05
C00260,Customer 260,Female,19,Consumer,2025-12-13
C00261,Customer 261,Male,28,Consumer,2024-05-11
C00262,Customer 262,Female,27,Corporate,2024-08-06
C00263,Customer 263,Male,31,Consumer,2025-11-09
C00264,Customer 264,Male,54,Consumer,2024-05-07
C00265,Customer 265,Female,46,Consumer,2025-04-26
C00266,Customer 266,Male,65,Consumer,2024-06-09
C00267,Customer 267,Male,34,Consumer,2024-08-29
C00268,Customer 268,Male,62,Corporate,2024-12-14
C00269,Customer 269,Male,20,Small Business,2024-09-19
C00270,Customer 270,Male,42,Consumer,2025-09-30
C00271,Customer 271,Male,56,Small Business,2025-12-11
C00272,Customer 272,Male,43,Consumer,2024-12-31
C00273,Customer 273,Male,62,Corporate,2025-01-18
C00274,Customer 274,Female,33,Corporate,2024-02-10
C00275,Customer 275,Female,19,Corporate,2024-06-19
C00276,Customer 276,Male,55,Corporate,2024-01-30
C00277,Customer 277,Male,21,Consumer,2025-09-17
C00278,Customer 278,Male,54,Consumer,2024-06-14
C00279,Customer 279,Female,53,Consumer,2024-09-05
C00280,Customer 280,Female,58,Consumer,2025-09-07
C00281,Customer 281,Male,40,Corporate,2025-06-04
C00282,Customer 282,Male,60,Consumer,2025-03-29
C00283,Customer 283,Male,26,Consumer,2024-01-29
C00284,Customer 284,Male,38,Consumer,2025-02-14
C00285,Customer 285,Female,23,Consumer,2025-02-13
C00286,Customer 286,Male,54,Corporate,2024-08-20
C00287,Customer 287,Male,52,Corporate,2025-06-27
C00288,Customer 288,Male,56,Consumer,2025-11-09
C00289,Customer 289,Female,54,Consumer,2024-07-08
C00290,Customer 290,Male,32,Consumer,2024-08-29
C00291,Customer 291,Female,21,Consumer,2024-08-23
C00292,Customer 292,Male,62,Corporate,2025-09-01
C00293,Customer 293,Female,41,Consumer,2024-02-26
C00294,Customer 294,Male,22,Consumer,2025-10-16
C00295,Customer 295,Female,62,Consumer,2025-07-19
C00296,Customer 296,Female,65,Small Business,2024-12-18
C00297,Customer 297,Female,39,Corporate,2025-03-01
C00298,Customer 298,Female,54,Consumer,2025-10-14
C00299,Customer 299,Female,19,Consumer,2025-07-15
C00300,Customer 300,Female,22,Consumer,2024-07-21
C00301,Customer 301,Female,31,Small Business,2024-02-06
C00302,Customer 302,Male,49,Consumer,2025-04-25
C00303,Customer 303,Female,24,Consumer,2024-04-16
C00304,Customer 304,Male,19,Small Business,2024-03-05
C00305,Customer 305,Female,50,Corporate,2025-12-18
C00306,Customer 306,Male,54,Consumer,2024-12-11
C00307,Customer 307,Male,53,Consumer,2025-04-20
C00308,Customer 308,Female,56,Consumer,2024-06-07
C00309,Customer 309,Male,56,Consumer,2024-03-15
C00310,Customer 310,Male,46,Consumer,2024-02-15
C00311,Customer 311,Male,42,Small Business,2024-09-15
C00312,Customer 312,Male,59,Small Business,2024-01-03
C00313,Customer 313,Male,34,Consumer,2024-11-02
C00314,Customer 314,Male,22,Consumer,2024-08-25
C00315,Customer 315,Male,54,Consumer,2025-01-19
C00316,Customer 316,Male,31,Consumer,2025-03-06
C00317,Customer 317,Male,64,Corporate,2024-08-13
C00318,Customer 318,Female,37,Consumer,2024-11-28
C00319,Customer 319,Male,58,Consumer,2024-02-27
C00320,Customer 320,Female,20,Consumer,2024-08-08
C00321,Customer 321,Female,49,Consumer,2025-12-15
C00322,Customer 322,Male,39,Consumer,2025-12-24
C00323,Customer 323,Male,40,Corporate,2024-12-20
C00324,Customer 324,Female,30,Corporate,2025-11-16
C00325,Customer 325,Female,64,Consumer,2024-12-31
C00326,Customer 326,Female,36,Corporate,2024-04-01
C00327,Customer 327,Female,58,Consumer,2025-09-25
C00328,Customer 328,Female,38,Corporate,2024-10-30
C00329,Customer 329,Female,20,Consumer,2025-03-23
C00330,Customer 330,Male,60,Consumer,2025-04-18
C00331,Customer 331,Female,26,Small Business,2024-08-12
C00332,Customer 332,Male,30,Consumer,2025-06-19
C00333,Customer 333,Female,59,Consumer,2024-12-31
C00334,Customer 334,Female,60,Consumer,2024-09-24
C00335,Customer 335,Male,62,Consumer,2024-08-05
C00336,Customer 336,Female,38,Consumer,2025-06-28
C00337,Customer 337,Male,54,Consumer,2024-07-01
C00338,Customer 338,Female,33,Small Business,2024-03-31
C00339,Customer 339,Male,53,Consumer,2025-10-05
C00340,Customer 340,Female,42,Consumer,2024-08-30
C00341,Customer 341,Male,20,Consumer,2025-04-12
C00342,Customer 342,Female,38,Corporate,2025-06-06
C00343,Customer 343,Female,40,Consumer,2025-09-03
C00344,Customer 344,Female,30,Consumer,2025-04-01
C00345,Customer 345,Female,35,Consumer,2025-05-31
C00346,Customer 346,Female,42,Corporate,2025-09-03
C00347,Customer 347,Female,20,Corporate,2025-11-19
C00348,Customer 348,Male,25,Consumer,2024-02-04
C00349,Customer 349,Female,54,Corporate,2025-06-26
C00350,Customer 350,Male,34,Consumer,2024-05-07
C00351,Customer 351,Female,47,Consumer,2025-10-12
C00352,Customer 352,Male,45,Consumer,2024-02-05
C00353,Customer 353,Female,44,Consumer,2024-06-29
C00354,Customer 354,Female,37,Consumer,2024-05-20
C00355,Customer 355,Male,41,Consumer,2025-03-16
C00356,Customer 356,Female,57,Consumer,2024-01-04
C00357,Customer 357,Female,64,Consumer,2024-01-13
C00358,Customer 358,Female,30,Consumer,2025-01-03
C00359,Customer 359,Male,50,Corporate,2025-12-10
C00360,Customer 360,Female,64,Corporate,2025-01-20
C00361,Customer 361,Female,18,Consumer,2024-11-21
C00362,Customer 362,Male,55,Consumer,2025-04-25
C00363,Customer 363,Male,41,Consumer,2025-02-06
C00364,Customer 364,Male,64,Consumer,2024-10-07
C00365,Customer 365,Female,45,Consumer,2025-03-05
C00366,Customer 366,Male,58,Consumer,2024-01-03
C00367,Customer 367,Female,25,Corporate,2024-06-27
C00368,Customer 368,Female,24,Corporate,2025-05-06
C00369,Customer 369,Male,62,Consumer,2024-09-06
C00370,Customer 370,Female,43,Consumer,2024-02-09
C00371,Customer 371,Female,44,Small Business,2024-03-31
C00372,Customer 372,Male,26,Consumer,2025-09-24
C00373,Customer 373,Male,28,Small Business,2024-08-28
C00374,Customer 374,Male,57,Consumer,2024-01-17
C00375,Customer 375,Male,32,Consumer,2025-06-16
C00376,Customer 376,Male,46,Consumer,2025-01-22
C00377,Customer 377,Female,33,Consumer,2024-11-25
C00378,Customer 378,Male,30,Small Business,2025-10-15
C00379,Customer 379,Male,25,Consumer,2024-08-17
C00380,Customer 380,Female,62,Small Business,2025-02-21
C00381,Customer 381,Female,63,Consumer,2025-06-27
C00382,Customer 382,Female,23,Small Business,2025-03-20
C00383,Customer 383,Female,34,Small Business,2024-05-31
C00384,Customer 384,Male,45,Consumer,2025-05-12
C00385,Customer 385,Male,36,Consumer,2025-06-26
C00386,Customer 386,Other,52,Corporate,2024-03-30
C00387,Customer 387,Female,30,Consumer,2024-04-30
C00388,Customer 388,Female,20,Small Business,2025-05-07
C00389,Customer 389,Male,34,Consumer,2024-03-27
C00390,Customer 390,Female,46,Consumer,2025-10-04
C00391,Customer 391,Female,26,Consumer,2024-03-20
C00392,Customer 392,Male,57,Corporate,2025-12-12
C00393,Customer 393,Female,18,Small Business,2025-05-05
C00394,Customer 394,Female,21,Consumer,2024-11-19
C00395,Customer 395,Male,42,Corporate,2024-07-14
C00396,Customer 396,Male,42,Small Business,2024-09-08
C00397,Customer 397,Female,32,Consumer,2025-06-30
C00398,Customer 398,Male,30,Consumer,2025-07-03
C00399,Customer 399,Male,21,Corporate,2024-06-01
C00400,Customer 400,Male,49,Corporate,2025-01-31
C00401,Customer 401,Male,36,Consumer,2025-12-25
C00402,Customer 402,Female,23,Corporate,2024-07-06
C00403,Customer 403,Female,37,Consumer,2025-05-21
C00404,Customer 404,Male,62,Small Business,2024-05-05
C00405,Customer 405,Other,30,Small Business,2025-08-31
C00406,Customer 406,Female,60,Corporate,2024-05-04
C00407,Customer 407,Male,30,Consumer,2024-08-05
C00408,Customer 408,Female,26,Consumer,2024-12-01
C00409,Customer 409,Male,30,Consumer,2024-09-27
C00410,Customer 410,Other,33,Consumer,2024-05-04
C00411,Customer 411,Female,23,Corporate,2025-04-12
C00412,Customer 412,Female,46,Consumer,2024-01-15
C00413,Customer 413,Male,34,Consumer,2025-12-18
C00414,Customer 414,Female,52,Consumer,2024-02-08
C00415,Customer 415,Male,41,Consumer,2024-08-31
C00416,Customer 416,Male,39,Consumer,2025-11-09
C00417,Customer 417,Male,40,Corporate,2024-04-23
C00418,Customer 418,Female,25,Corporate,2024-02-23
C00419,Customer 419,Male,52,Consumer,2025-06-27
C00420,Customer 420,Female,22,Small Business,2024-02-23
C00421,Customer 421,Female,52,Small Business,2025-10-18
C00422,Customer 422,Male,65,Consumer,2024-11-25
C00423,Customer 423,Male,54,Corporate,2025-09-26
C00424,Customer 424,Male,39,Consumer,2024-06-27
C00425,Customer 425,Female,33,Consumer,2024-04-13
C00426,Customer 426,Female,59,Consumer,2025-12-03
C00427,Customer 427,Male,30,Consumer,2025-07-10
C00428,Customer 428,Female,41,Small Business,2025-10-27
C00429,Customer 429,Male,55,Small Business,2024-08-21
C00430,Customer 430,Female,62,Corporate,2024-10-22
C00431,Customer 431,Female,62,Consumer,2025-02-25
C00432,Customer 432,Female,22,Consumer,2024-11-23
C00433,Customer 433,Female,61,Small Business,2024-06-26
C00434,Customer 434,Female,23,Consumer,2024-09-30
C00435,Customer 435,Male,46,Consumer,2025-03-20
C00436,Customer 436,Male,62,Consumer,2024-01-28
C00437,Customer 437,Male,49,Consumer,2024-09-02
C00438,Customer 438,Male,63,Consumer,2024-08-01
C00439,Customer 439,Female,34,Consumer,2024-02-21
C00440,Customer 440,Female,33,Consumer,2024-03-30
C00441,Customer 441,Female,33,Consumer,2024-12-27
C00442,Customer 442,Male,35,Consumer,2024-03-15
C00443,Customer 443,Female,50,Consumer,2024-09-08
C00444,Customer 444,Male,39,Consumer,2025-02-13
C00445,Customer 445,Male,53,Small Business,2025-09-29
C00446,Customer 446,Female,37,Consumer,2024-03-13
C00447,Customer 447,Other,32,Corporate,2024-11-13
C00448,Customer 448,Female,27,Corporate,2024-03-16
C00449,Customer 449,Male,44,Consumer,2024-11-08
C00450,Customer 450,Female,61,Corporate,2024-12-16
C00451,Customer 451,Male,59,Corporate,2025-08-06
C00452,Customer 452,Female,30,Consumer,2024-11-18
C00453,Customer 453,Female,40,Consumer,2025-11-13
C00454,Customer 454,Male,51,Consumer,2024-04-10
C00455,Customer 455,Male,47,Small Business,2024-02-08
C00456,Customer 456,Male,21,Corporate,2024-01-04
C00457,Customer 457,Other,46,Small Business,2024-09-17
C00458,Customer 458,Male,19,Small Business,2024-05-20
C00459,Customer 459,Female,23,Consumer,2024-03-07
C00460,Customer 460,Female,49,Corporate,2024-06-21
C00461,Customer 461,Female,22,Consumer,2025-12-12
C00462,Customer 462,Male,34,Corporate,2025-08-07
C00463,Customer 463,Female,46,Consumer,2024-01-14
C00464,Customer 464,Male,49,Consumer,2025-10-30
C00465,Customer 465,Female,39,Corporate,2024-05-29
C00466,Customer 466,Female,22,Corporate,2024-10-23
C00467,Customer 467,Female,56,Consumer,2024-08-27
C00468,Customer 468,Female,63,Consumer,2024-10-22
C00469,Customer 469,Male,60,Consumer,2025-07-09
C00470,Customer 470,Male,53,Small Business,2025-06-04
C00471,Customer 471,Male,37,Consumer,2025-03-09
C00472,Customer 472,Male,60,Consumer,2025-04-02
C00473,Customer 473,Male,41,Consumer,2025-06-15
C00474,Customer 474,Male,24,Consumer,2024-05-14
C00475,Customer 475,Male,58,Consumer,2024-10-15
C00476,Customer 476,Male,33,Consumer,2024-03-19
C00477,Customer 477,Male,63,Corporate,2025-05-29
C00478,Customer 478,Female,35,Small Business,2024-11-15
C00479,Customer 479,Female,59,Small Business,2025-04-10
C00480,Customer 480,Male,43,Consumer,2025-02-16
C00481,Customer 481,Male,40,Consumer,2024-07-18
C00482,Customer 482,Male,32,Corporate,2024-04-11
C00483,Customer 483,Female,58,Corporate,2025-12-11
C00484,Customer 484,Male,20,Consumer,2024-08-02
C00485,Customer 485,Male,40,Corporate,2024-03-20
C00486,Customer 486,Male,35,Corporate,2024-08-11
C00487,Customer 487,Male,44,Corporate,2025-10-20
C00488,Customer 488,Male,30,Corporate,2024-07-09
C00489,Customer 489,Female,49,Consumer,2025-12-21
C00490,Customer 490,Female,36,Consumer,2024-12-02
C00491,Customer 491,Female,27,Consumer,2025-09-21
C00492,Customer 492,Female,27,Consumer,2025-04-21
C00493,Customer 493,Female,51,Small Business,2024-02-02
C00494,Customer 494,Male,30,Consumer,2025-01-06
C00495,Customer 495,Female,32,Consumer,2024-10-31
C00496,Customer 496,Female,48,Corporate,2024-05-27
C00497,Customer 497,Male,33,Corporate,2025-02-05
C00498,Customer 498,Female,36,Corporate,2024-03-16
C00499,Customer 499,Male,29,Consumer,2025-05-24
C00500,Customer 500,Male,34,Small Business,2025-08-22
C00501,Customer 501,Female,51,Consumer,2024-03-08
C00502,Customer 502,Female,43,Consumer,2024-12-15
C00503,Customer 503,Female,65,Consumer,2025-04-23
C00504,Customer 504,Male,55,Corporate,2024-02-15
C00505,Customer 505,Female,18,Corporate,2024-10-11
C00506,Customer 506,Female,36,Consumer,2024-07-07
C00507,Customer 507,Male,31,Consumer,2024-01-29
C00508,Customer 508,Female,46,Corporate,2025-08-09
C00509,Customer 509,Male,30,Corporate,2024-11-20
C00510,Customer 510,Male,64,Consumer,2025-07-02
C00511,Customer 511,Male,32,Small Business,2025-03-04
C00512,Customer 512,Female,43,Corporate,2025-10-01
C00513,Customer 513,Male,23,Small Business,2025-12-28
C00514,Customer 514,Male,61,Small Business,2025-03-15
C00515,Customer 515,Male,61,Small Business,2024-09-14
C00516,Customer 516,Male,56,Corporate,2024-11-04
